mileage,manufactured-year,engine-size,owners,price,make,guid
134400.0,2010,2.0,5,2500.0,Volkswagen,33e2ff3c-774d-4aee-8f2d-b0f788d69836
56349.0,2016,1.4,,5600.0,Vauxhall,c486a968-3dd5-4cf9-bead-4289948f1c54
10005.0,2019,1.2,,12100.0,Citroen,21a6972e-6e53-4fc2-9322-35bdf8cda55d
37000.0,2008,2.0,7,7000.0,Renault,3dbc3dc6-65dc-4864-b0b1-bb1f05ed83b4
19053.0,2018,1.2,2,8300.0,Vauxhall,2d60c955-f248-4dcf-9518-a36167006c43
24442.0,2012,2.0,1,8871.0,Kia,69b26b08-0d3d-4995-a818-47c5178ef28f
45885.0,2016,0.9,2,5995.0,Renault,289bb417-6882-494a-ab52-e9f817f8446b
73531.0,2011,1.6,,2795.0,Renault,605c0e60-b959-419d-bab1-bebbf1f2d4f7
9583.0,2017,1.2,,6550.0,Fiat,f9dee0e7-cfbf-45fb-9053-61ba4ed1d320
83500.0,2010,1.2,,2250.0,Renault,5f155e06-298f-4010-a083-90fa33d2d3a9
106000.0,2011,3.0,3,7950.0,BMW,52854a85-4ef8-4744-a116-4cae057763ec
5050.0,2020,1.0,1,10695.0,Nissan,0046098b-d5ad-4876-84c7-411c7f953ad6
37336.0,2016,1.25,1,6795.0,Ford,4a6ed923-7559-466b-94d9-8a769fedf43e
54794.0,2013,2.1,3,9995.0,Mercedes-Benz,73356ec8-2762-441f-8fdc-c0050bcc9c53
15892.0,2017,1.5,2,8700.0,Renault,e2f110ae-7582-4684-a983-f7fc0b6ef97f
50925.0,2016,1.5,1,7700.0,Mazda,ff62b99a-1582-488f-8bcb-0f9b9673b052
125000.0,2010,2.0,4,3100.0,Volkswagen,e34c9331-5571-4744-ab01-59b4a2f01294
40452.0,2017,1.2,1,5499.0,Fiat,92afcb1c-e2fa-421e-afd6-22576727ed48
170879.0,1997,2.3,5,5990.0,Volvo,3e7ef9ae-3326-46ca-8f2f-1ba474b6e1d8
170000.0,2014,2.2,,4991.0,Honda,ad51cd93-8eb6-468a-97e9-b44bbeb3f014
42000.0,2015,1.2,1,5000.0,Vauxhall,54e2e173-b705-4ba1-96d8-bea5743023e6
40700.0,2015,2.0,2,10250.0,Ford,9e506c81-faa4-4ad7-9afd-dc2b14c48ed9
15925.0,2018,1.4,,8450.0,Vauxhall,967e4920-d6e7-499e-b31f-045081489541
10372.0,2017,1.6,1,14495.0,Nissan,74157a74-3ffa-4f7a-91ae-0c2eb73bdb43
14449.0,2016,1.4,,7000.0,Vauxhall,4342bd31-6c11-446f-a549-9de6c9987ff5
30577.0,2016,1.2,,6500.0,Fiat,d6b11052-450d-43cb-a593-7f5e95b8d4c2
42000.0,2016,1.0,1,4187.0,Suzuki,31960148-9e28-47a2-bcd4-8a5c5a12e4b3
70000.0,1998,1.1,4,995.0,Peugeot,1744b30f-6db7-4ae2-a103-471a093a02d1
59500.0,2013,1.0,2,4550.0,Ford,f62ae8ed-1758-4858-b141-bfc10ffa6c4c
29261.0,2015,2.5,2,21500.0,Lexus,3402903f-be6f-4703-8c4b-45287ff1a136
11848.0,2017,1.5,,9000.0,Ford,cec3729c-9848-4647-a417-a5d9f2f4806c
