mileage,manufactured-year,engine-size,owners,price,make
134400.0,2010,2.0,5,2500.0,Volkswagen
56349.0,2016,1.4,,5600.0,Vauxhall
10005.0,2019,1.2,,12100.0,Citroen
37000.0,2008,2.0,7,7000.0,Renault
19053.0,2018,1.2,2,8300.0,Vauxhall
24442.0,2012,2.0,1,8871.0,Kia
45885.0,2016,0.9,2,5995.0,Renault
73531.0,2011,1.6,,2795.0,Renault
9583.0,2017,1.2,,6550.0,Fiat
83500.0,2010,1.2,,2250.0,Renault
106000.0,2011,3.0,3,7950.0,BMW
5050.0,2020,1.0,1,10695.0,Nissan
37336.0,2016,1.25,1,6795.0,Ford
54794.0,2013,2.1,3,9995.0,Mercedes-Benz
15892.0,2017,1.5,2,8700.0,Renault
50925.0,2016,1.5,1,7700.0,Mazda
125000.0,2010,2.0,4,3100.0,Volkswagen
40452.0,2017,1.2,1,5499.0,Fiat
170879.0,1997,2.3,5,5990.0,Volvo
170000.0,2014,2.2,,4991.0,Honda
42000.0,2015,1.2,1,5000.0,Vauxhall
40700.0,2015,2.0,2,10250.0,Ford
15925.0,2018,1.4,,8450.0,Vauxhall
10372.0,2017,1.6,1,14495.0,Nissan
14449.0,2016,1.4,,7000.0,Vauxhall
30577.0,2016,1.2,,6500.0,Fiat
42000.0,2016,1.0,1,4187.0,Suzuki
70000.0,1998,1.1,4,995.0,Peugeot
59500.0,2013,1.0,2,4550.0,Ford
29261.0,2015,2.5,2,21500.0,Lexus
11848.0,2017,1.5,,9000.0,Ford
138000.0,2007,2.0,,1150.0,Audi
63219.0,2015,2.2,1,7298.0,Mazda
41791.0,2016,1.0,1,7150.0,Vauxhall
54288.0,2016,1.0,2,4995.0,Toyota
40994.0,2017,1.4,,8400.0,Vauxhall
42918.0,2016,1.6,,7150.0,DS AUTOMOBILES
33508.0,2016,2.0,2,11495.0,Volkswagen
27575.0,2013,1.6,,8400.0,BMW
116755.0,2004,1.9,8,1449.0,Citroen
12701.0,2018,1.0,,7000.0,Kia
40171.0,2015,1.2,,7000.0,Peugeot
28682.0,2015,1.25,,6550.0,Kia
45000.0,2014,1.2,1,4100.0,Vauxhall
83500.0,2010,1.2,,2250.0,Renault
41791.0,2016,1.0,1,7150.0,Vauxhall
42495.0,2018,1.7,,9698.0,Hyundai
21306.0,2018,1.2,,10950.0,Renault
48323.0,2016,1.4,,7450.0,Vauxhall
111000.0,2007,2.0,3,3995.0,BMW
22526.0,2017,1.2,1,14795.0,Nissan
26076.0,2017,1.7,,11900.0,Kia
82140.0,2014,2.0,2,8250.0,Volkswagen
13932.0,2018,1.1,1,7995.0,Ford
62184.0,2014,1.3,,5699.0,Fiat
42165.0,2016,1.5,,7500.0,Nissan
76000.0,2005,1.6,,1990.0,Renault
29567.0,2018,1.2,,6698.0,Citroen
56077.0,2014,1.2,,3800.0,Vauxhall
34610.0,2016,2.0,1,10995.0,Mazda
79000.0,2007,1.8,,4995.0,Mercedes-Benz
32618.0,2018,1.6,,9998.0,Vauxhall
7498.0,2019,1.2,,9000.0,Ford
51000.0,2015,1.5,2,6550.0,Ford
96127.0,2008,1.4,3,1295.0,SKODA
49858.0,2016,1.6,,7799.0,Suzuki
35680.0,2017,1.5,,11700.0,Nissan
15896.0,2015,1.6,,7700.0,Peugeot
35210.0,2015,1.2,,6700.0,Hyundai
35669.0,2014,1.5,,4995.0,Dacia
56077.0,2014,1.2,,3800.0,Vauxhall
27971.0,2014,1.5,1,6200.0,Renault
25204.0,2018,1.0,,10800.0,Ford
24333.0,2016,1.2,,6999.0,Suzuki
30920.0,2017,1.6,,10650.0,Citroen
5600.0,2018,1.4,,7600.0,Vauxhall
21706.0,2017,1.5,,7500.0,Nissan
59084.0,2007,3.2,6,7499.0,Alfa Romeo
90100.0,2012,2.0,2,4500.0,Ford
43236.0,2014,1.25,,5845.0,Ford
23394.0,2017,2.0,,15900.0,Volkswagen
83500.0,2010,1.2,,2250.0,Renault
56077.0,2014,1.2,,3800.0,Vauxhall
17837.0,2018,1.0,,6950.0,Toyota
24558.0,2017,1.6,,15850.0,Peugeot
22969.0,2017,1.5,1,7995.0,Mazda
26513.0,2017,1.5,2,12995.0,Nissan
31731.0,2011,1.2,3,3797.0,Ford
4241.0,2018,1.0,,6795.0,Toyota
38430.0,2014,1.4,2,5400.0,Vauxhall
33205.0,2017,1.5,,8700.0,Ford
72000.0,2010,1.4,4,3795.0,Volkswagen
26171.0,2018,1.6,1,16500.0,Kia
56077.0,2014,1.2,,3800.0,Vauxhall
42000.0,2015,1.2,1,5000.0,Vauxhall
46000.0,2014,1.4,3,3600.0,Fiat
66703.0,2012,1.6,2,6000.0,MINI
496867.0,2005,1.3,5,700.0,Ford
35327.0,2017,1.0,1,10990.0,SEAT
123000.0,1993,1.6,2,625.0,Toyota
27416.0,2019,1.4,,9998.0,Vauxhall
11070.0,2017,1.5,,10200.0,MINI
53301.0,2009,1.2,3,1900.0,Nissan
31000.0,2008,1.6,,2350.0,Citroen
24732.0,2015,1.4,2,10250.0,Abarth
138000.0,2007,2.0,,1150.0,Audi
42495.0,2018,1.7,,9698.0,Hyundai
65000.0,2016,1.5,1,7998.0,Ford
167000.0,2012,2.0,,3990.0,BMW
16396.0,2017,1.2,2,15290.0,Toyota
57396.0,2017,1.6,,6060.0,Dacia
7207.0,2019,1.0,,14550.0,Volkswagen
64000.0,2011,2.0,3,4495.0,Vauxhall
51416.0,2015,1.2,,5500.0,Nissan
71500.0,2014,1.6,4,4000.0,Ford
16817.0,2018,1.6,,12850.0,Nissan
42451.0,2013,1.2,,3999.0,Fiat
39111.0,2010,1.4,,3999.0,Fiat
83500.0,2010,1.2,,2250.0,Renault
14644.0,2018,1.2,,7200.0,Ford
56077.0,2014,1.2,,3800.0,Vauxhall
33000.0,2016,1.0,1,7650.0,Hyundai
32000.0,2015,1.6,,7495.0,Citroen
69000.0,2012,2.0,3,7000.0,Audi
95300.0,2001,3.2,6,8000.0,Mercedes-Benz
85962.0,2010,2.7,,7490.0,Audi
64000.0,2013,1.8,1,7000.0,Audi
47053.0,2004,3.0,4,7995.0,BMW
38655.0,2003,5.0,3,7999.0,Mercedes-Benz
65000.0,2012,2.1,3,7790.0,Mercedes-Benz
39000.0,2013,1.8,3,7979.0,Mazda
89000.0,2012,2.0,2,7495.0,BMW
74500.0,2009,1.8,3,7600.0,Mercedes-Benz
52000.0,2009,2.0,,7485.0,BMW
22255.0,2017,1.0,1,8995.0,Peugeot
38926.0,2016,1.5,2,9990.0,MINI
38926.0,2016,1.5,2,9990.0,MINI
53521.0,2015,1.2,1,5750.0,SEAT
71126.0,2008,1.1,2,1295.0,Mitsubishi
35632.0,2016,1.2,1,6450.0,SEAT
124682.0,2006,2.0,,3995.0,Volkswagen
78205.0,2003,2.0,,2495.0,Toyota
50018.0,2015,1.2,1,5240.0,Vauxhall
115000.0,2004,1.0,,990.0,Toyota
35035.0,2017,1.2,2,6495.0,Vauxhall
66000.0,2009,1.0,5,1200.0,Peugeot
137098.0,2012,1.2,4,1500.0,Fiat
38926.0,2016,1.5,2,9990.0,MINI
23500.0,2017,1.4,,6350.0,Vauxhall
23068.0,2018,1.0,,5950.0,Vauxhall
25448.0,2018,1.4,,7009.0,Vauxhall
11818.0,2019,1.2,,10000.0,Hyundai
23500.0,2017,1.4,,6350.0,Vauxhall
63131.0,2008,1.4,2,2995.0,SKODA
51514.0,2016,1.6,1,7500.0,SEAT
65222.0,2010,1.4,3,3495.0,Fiat
11162.0,2018,1.0,,6495.0,Toyota
82000.0,2006,2.0,,2995.0,BMW
59046.0,2016,1.6,,10750.0,Nissan
120000.0,2009,1.9,,1690.0,Saab
30943.0,2014,1.2,,5050.0,Peugeot
23500.0,2017,1.4,,6350.0,Vauxhall
57000.0,2011,1.1,5,1550.0,Mitsubishi
57020.0,2015,1.7,,7400.0,Hyundai
38337.0,2005,1.4,2,1795.0,Ford
55207.0,2015,1.6,3,7495.0,Mitsubishi
79000.0,2008,1.4,2,999.0,Peugeot
175000.0,2005,2.0,5,495.0,Hyundai
88000.0,2010,1.9,3,2600.0,Renault
28865.0,2018,1.6,,10400.0,Vauxhall
48548.0,2014,1.8,2,8495.0,SEAT
28598.0,2015,2.1,2,17000.0,Mercedes-Benz
45435.0,2016,1.4,,6000.0,Vauxhall
46567.0,2013,1.8,1,5500.0,Toyota
53521.0,2015,1.2,1,5750.0,SEAT
30943.0,2014,1.2,,5050.0,Peugeot
27287.0,2009,2.0,4,3795.0,Ford
113000.0,1998,2.0,4,3750.0,Toyota
46567.0,2013,1.8,1,5500.0,Toyota
137500.0,2008,2.0,4,2200.0,Volvo
43980.0,2013,2.0,2,5795.0,Vauxhall
27396.0,2017,1.4,2,6495.0,Vauxhall
17798.0,2018,1.0,,9850.0,Volkswagen
108000.0,2008,1.2,6,2400.0,Fiat
46219.0,2013,1.6,2,6995.0,Volvo
45435.0,2016,1.4,,6000.0,Vauxhall
45435.0,2016,1.4,,6000.0,Vauxhall
23500.0,2017,1.4,,6350.0,Vauxhall
54574.0,2013,1.4,1,4995.0,Alfa Romeo
62165.0,2011,1.2,,3150.0,Vauxhall
38903.0,2016,1.2,3,6995.0,Peugeot
8852.0,2018,1.2,,8500.0,Ford
76000.0,2006,1.6,2,2995.0,Volkswagen
11459.0,2016,1.2,,6300.0,Fiat
66640.0,2017,1.5,1,7495.0,MINI
94522.0,2008,1.2,3,1999.0,Fiat
131000.0,2005,1.6,5,1195.0,Audi
89730.0,2007,1.6,,2289.0,MINI
45435.0,2016,1.4,,6000.0,Vauxhall
53521.0,2015,1.2,1,5750.0,SEAT
45435.0,2016,1.4,,6000.0,Vauxhall
64654.0,2012,1.5,,7000.0,Nissan
36671.0,2017,1.0,,10500.0,Hyundai
29920.0,2017,1.4,,6850.0,Vauxhall
94000.0,2002,1.0,2,999.0,Volkswagen
55500.0,2014,1.6,1,5879.0,Peugeot
51353.0,2013,1.5,2,4495.0,Dacia
135600.0,2004,2.5,4,990.0,Nissan
48510.0,2013,1.2,,4200.0,SKODA
13990.0,2018,1.1,,8750.0,Ford
59784.0,2006,1.0,3,1395.0,Vauxhall
76000.0,2008,1.4,,1790.0,Vauxhall
23500.0,2017,1.4,,6350.0,Vauxhall
53521.0,2015,1.2,1,5750.0,SEAT
34475.0,2015,1.5,2,7495.0,Nissan
67650.0,2008,1.4,2,1300.0,Vauxhall
57000.0,2011,1.2,,2995.0,Renault
53883.0,2010,1.4,4,3800.0,SEAT
53780.0,2010,1.6,3,3495.0,Citroen
52710.0,2015,1.5,2,6995.0,Nissan
134550.0,2006,2.7,5,6325.0,Porsche
23484.0,2017,1.5,1,8495.0,Dacia
65000.0,2010,1.2,3,1700.0,Ford
19253.0,2017,1.4,3,9495.0,Fiat
46567.0,2013,1.8,1,5500.0,Toyota
28865.0,2018,1.6,,10400.0,Vauxhall
87287.0,2007,2.2,4,3050.0,Toyota
117000.0,1994,2.0,5,4250.0,Volkswagen
32953.0,2015,1.4,2,12495.0,Volkswagen
37563.0,2013,1.3,,3495.0,Chevrolet
45902.0,2016,1.8,2,9950.0,Volkswagen
54936.0,2012,1.6,,4850.0,Citroen
60000.0,2010,1.6,4,4500.0,MINI
27575.0,2016,1.5,2,8995.0,Ford
50000.0,2016,1.4,,5350.0,Vauxhall
32310.0,2018,1.6,,10200.0,Citroen
76000.0,2008,1.4,,1790.0,Vauxhall
30943.0,2014,1.2,,5050.0,Peugeot
23500.0,2017,1.4,,6350.0,Vauxhall
50700.0,2014,1.0,,4900.0,SKODA
24232.0,2016,1.2,3,6495.0,Renault
23000.0,2017,1.4,,5650.0,Vauxhall
33781.0,2015,1.2,,5550.0,Citroen
22212.0,2017,1.6,,12599.0,Hyundai
29541.0,2018,2.0,,10400.0,SEAT
73000.0,2011,1.4,3,3495.0,Vauxhall
115000.0,2005,1.6,5,750.0,Volkswagen
61000.0,2013,1.5,2,3599.0,Renault
27489.0,2018,1.0,,9200.0,Ford
120000.0,2009,1.9,,1690.0,Saab
23500.0,2017,1.4,,6350.0,Vauxhall
55500.0,2014,1.6,1,5879.0,Peugeot
30000.0,2016,1.9,2,4995.0,MG
133508.0,2009,2.0,,3695.0,Subaru
95400.0,2008,1.9,5,2995.0,Volkswagen
75200.0,2006,1.4,3,750.0,Peugeot
28214.0,2017,2.0,1,13900.0,Ford
138000.0,2008,1.6,2,1750.0,SKODA
6003.0,2019,1.6,,16200.0,Kia
190000.0,2005,1.7,3,995.0,Vauxhall
22000.0,2018,1.4,,8400.0,Vauxhall
33000.0,2016,1.0,2,6500.0,Suzuki
55500.0,2014,1.6,1,5879.0,Peugeot
17798.0,2018,1.0,,9850.0,Volkswagen
57000.0,2018,1.5,1,12650.0,Nissan
12962.0,2016,1.2,,8495.0,Nissan
23128.0,2014,1.2,1,9995.0,Nissan
29517.0,2016,1.6,,7600.0,Peugeot
